"filename", "language", "JSON", "TypeScript", "CSS", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\my file\sviluppo\FE_2021\fantacalcio\README.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 14, 28
"c:\my file\sviluppo\FE_2021\fantacalcio\angular.json", "JSON", 109, 0, 0, 0, 0, 0, 21, 0, 130
"c:\my file\sviluppo\FE_2021\fantacalcio\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 0, 0, 29, 6, 2, 37
"c:\my file\sviluppo\FE_2021\fantacalcio\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 1, 5, 24
"c:\my file\sviluppo\FE_2021\fantacalcio\e2e\src\app.po.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\my file\sviluppo\FE_2021\fantacalcio\e2e\tsconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 1, 1, 14
"c:\my file\sviluppo\FE_2021\fantacalcio\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 37, 6, 2, 45
"c:\my file\sviluppo\FE_2021\fantacalcio\package-lock.json", "JSON", 15201, 0, 0, 0, 0, 0, 0, 1, 15202
"c:\my file\sviluppo\FE_2021\fantacalcio\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 1, 50
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\_helpers\auth.interceptor.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 7, 28
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\bonus-manager\bonus-manager.component.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\bonus-manager\bonus-manager.component.html", "HTML", 0, 0, 0, 29, 0, 0, 0, 4, 33
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\bonus-manager\bonus-manager.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\bonus-manager\bonus-manager.component.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 19, 76
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\dash\dash.component.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\dash\dash.component.html", "HTML", 0, 0, 0, 27, 0, 0, 2, 4, 33
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\dash\dash.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\dash\dash.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\grades-manager\grades-manager.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\grades-manager\grades-manager.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\grades-manager\grades-manager.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\grades-manager\grades-manager.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\admin\log-manager\log-manager.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
